run,a_us,b_us,thrust_N,thrust_sem,n,torque_Nm,voltage_v,current_a,power_w,t_rel_s,dur_s
A1800_B1000-2000_2026-07-31_030736,1800,1200,7.757919952303186,0.039356578144045175,77,-0.09978233144101407,11.595,10.93,126.73335,18.049160480499268,3.911592960357666
A1800_B1000-2000_2026-07-31_030736,1800,1300,8.29224462762786,0.038316793744419,77,-0.08867843533711799,11.551,11.715,135.319965,22.010862827301025,3.964484214782715
A1800_B1000-2000_2026-07-31_030736,1800,1400,8.807192679575913,0.027858802870108206,77,-0.07259675386069965,11.5085,12.6,145.00709999999998,26.025446891784668,3.9607317447662354
A1800_B1000-2000_2026-07-31_030736,1800,1500,9.525335536718767,0.03249689683729993,77,-0.05930181196049459,11.459,13.73,157.33207,30.036328554153442,3.960470199584961
A1800_B1000-2000_2026-07-31_030736,1800,1600,10.265785639247817,0.027416677935036857,76,-0.043662543334383866,11.410499999999999,15.06,171.84213,34.04693126678467,3.910580635070801
A1800_B1000-2000_2026-07-31_030736,1800,1700,11.491530341913574,0.025407642106720415,77,-0.021366747025429664,11.3225,17.33,196.21892499999998,38.00761532783508,3.9607038497924805
A1800_B1000-2000_2026-07-31_030736,1800,1800,12.941880991264224,0.06478805330412275,77,0.012399486740804102,11.189,20.7,231.6123,42.018420457839966,3.9610438346862793
A1800_B1000-2000_2026-07-31_030736,1800,1900,14.413673199056431,0.10711559919825445,77,0.04149039583171319,11.059,24.52,271.16668,46.02957892417908,3.9609711170196533
A1800_B1000-2000_2026-07-31_030736,1800,2000,16.17433553671877,0.365979481192619,77,0.0726981880395054,10.8955,28.825,314.0627875,50.04065203666687,3.9613349437713623
A1900_B1000-2000_2026-07-31_032000,1900,1000,8.86819477927262,0.06188348808808803,77,-0.14905855820825886,11.615,13.97,162.26155,10.029291152954102,3.9607279300689697
A1900_B1000-2000_2026-07-31_032000,1900,1100,8.799350623428467,0.05851821853694519,77,-0.1379806361303368,11.554,14.13,163.25802000000002,14.040112495422363,3.960151195526123
A1900_B1000-2000_2026-07-31_032000,1900,1200,9.21977919485704,0.03409305425662984,77,-0.12805855820825882,11.498,14.58,167.64084,18.050394296646118,3.9108567237854004
A1900_B1000-2000_2026-07-31_032000,1900,1300,9.662636337714181,0.02969319165805789,77,-0.11474686989657049,11.46,15.24,174.65040000000002,22.011340856552124,3.96136212348938
A1900_B1000-2000_2026-07-31_032000,1900,1400,10.216870103947947,0.026754747152479674,77,-0.1011234932731939,11.413,16.08,183.52103999999997,26.022794246673584,3.962064266204834
A1900_B1000-2000_2026-07-31_032000,1900,1500,10.813662311740154,0.030385228344293032,77,-0.08396764911734976,11.368,17.105,194.44964000000002,30.03494930267334,3.9607064723968506
A1900_B1000-2000_2026-07-31_032000,1900,1600,11.482236474419581,0.02610109438983705,76,-0.07251481248030257,11.31,18.34,207.4254,34.04575181007385,3.9122707843780518
A1900_B1000-2000_2026-07-31_032000,1900,1700,12.518467506545349,0.028041709813003003,77,-0.04903258418228481,11.228,20.415,229.21962,38.00811553001404,3.961297035217285
A1900_B1000-2000_2026-07-31_032000,1900,1800,13.95842854550639,0.047456708551205914,77,-0.01887674002644065,11.11,23.73,263.64029999999997,42.01953482627869,3.9640674591064453
A1900_B1000-2000_2026-07-31_032000,1900,1900,15.342753220831062,0.08537004492490056,77,0.012590450677592156,10.9585,27.91,305.851735,46.033684492111206,3.9611926078796387
A1900_B1000-2000_2026-07-31_032000,1900,2000,16.815792181870027,0.13487128860302638,77,0.03999338984368921,10.828,31.64,342.59792,50.04495692253113,3.9614901542663574
A2000_B1000-2000_2026-07-31_032944,2000,1000,10.289693003603187,0.07890076017176986,77,-0.1689455299926463,11.5245,18.03,207.78673500000002,9.976524353027344,3.960425615310669
A2000_B1000-2000_2026-07-31_032944,2000,1100,10.395822873733055,0.031300773437219584,77,-0.16319467558389716,11.4515,18.05,206.699575,13.98703908920288,3.9631781578063965
A2000_B1000-2000_2026-07-31_032944,2000,1200,10.666329367239548,0.024971863417442453,77,-0.15285701324623482,11.3955,18.4,209.6772,18.000316619873047,3.961030960083008
A2000_B1000-2000_2026-07-31_032944,2000,1300,11.01658910749929,0.020235117119680415,77,-0.13809077948000106,11.3525,18.99,215.58397499999995,22.01143717765808,3.9607882499694824
A2000_B1000-2000_2026-07-31_032944,2000,1400,11.490602094512274,0.026591766239981364,77,-0.1246232470124686,11.308,19.7,222.7676,26.022382736206055,3.9604477882385254
A2000_B1000-2000_2026-07-31_032944,2000,1500,12.083290059880241,0.021794771613156894,75,-0.11086658262422527,11.255500000000001,20.7,232.98885,30.033008098602295,3.9114580154418945
A2000_B1000-2000_2026-07-31_032944,2000,1600,12.706809886720066,0.03145197612627304,77,-0.09638948077870237,11.2035,21.79,244.12426499999998,33.994555950164795,3.9607064723968506
A2000_B1000-2000_2026-07-31_032944,2000,1700,13.67348521139539,0.04267402442533045,77,-0.07515571454493614,11.128,23.8,264.8464,38.005393266677856,3.9609150886535645
A2000_B1000-2000_2026-07-31_032944,2000,1800,14.990212484122665,0.024795789906274148,77,-0.04346740285662445,11.002,27.19,299.14438,42.01638984680176,3.9605772495269775
A2000_B1000-2000_2026-07-31_032944,2000,1900,16.585939756849932,0.06160640315311178,77,-0.015077792467014052,10.874500000000001,30.87,335.69581500000004,46.027055978775024,3.960871934890747
A2000_B1000-2000_2026-07-31_032944,2000,2000,17.810069626979807,0.07960757712029509,77,0.015922207532985944,10.745,34.754999999999995,373.44247499999994,50.03805947303772,3.911007881164551
