phase,a_cmd_us,b_cmd_us,n,t_start_rel,thrust_n_mean,thrust_n_sem,torque_nm_mean,torque_nm_sem,voltage_v_mean,voltage_v_sem,current_a_mean,current_a_sem,run_dir
A1300_B1200,1300,1200,123,0.0,2.7413857163721342,0.06398804601740046,-0.012457475293315798,0.0004862508009326173,11.822616000000002,0.003069407508235574,2.2094399999999994,0.006205412829707365,raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512
A1300_B1300,1300,1300,126,0.0,3.515334806577322,0.0678555895970005,0.0012784906377720673,0.0005025748766867897,11.789564516129031,0.003094631315046514,3.1410483870967747,0.006425773557034393,raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512
A1300_B1400,1300,1400,125,0.0,4.347916838323354,0.06953238553318507,0.013085093812375199,0.0005455433515194702,11.747264000000001,0.00317083776453987,4.23616,0.006953100028045042,raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512
A1300_B1500,1300,1500,126,0.0,5.21747766372018,0.07635708911225697,0.028341982701264087,0.0008487692095474704,11.693112000000001,0.0035324708705965126,5.52808,0.008061614342453473,raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512
A1300_B1600,1300,1600,126,0.0,6.202001473243989,0.06868829835249855,0.045413411272692654,0.0007241328294928404,11.627568000000002,0.0041778268158488615,7.12936,0.01009870256757704,raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512
A1300_B1700,1300,1700,124,0.0,7.617661483484644,0.05316993425644615,0.06814664219947197,0.00045173230971743507,11.53119841269841,0.003971102279364907,9.580873015873017,0.00901569695781599,raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512
A1300_B1800,1300,1800,126,0.0,9.168945917688434,0.053490783781970114,0.09405626841554977,0.0005796637629741195,11.407143999999999,0.004157553623109656,12.82768,0.0097538320013048,raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512
A1300_B1900,1300,1900,126,0.0,10.842612584355104,0.05375965789822645,0.12382610968539107,0.0006228183894874157,11.257161290322582,0.0042044895499523905,16.764999999999997,0.008627638119594815,raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512
A1300_B2000,1300,2000,126,0.0,12.33458877483129,0.05089545150230105,0.14971499857428003,0.0005738401493506733,11.0984,0.002911711612802515,20.7928,0.008516094819090611,raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512
A1400_B1000,1400,1000,126,0.0,3.2471719682539684,0.06660884820055202,-0.04842009523809525,0.001914735791676605,11.830145161290323,0.003454733191604723,2.3129838709677415,0.008055814214149536,raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421
