run,session,phase,a_cmd_us,b_cmd_us,n,n_eff,thrust_N,thrust_sd,thrust_sem,torque_Nm,torque_sem,voltage_v,current_a,power_w,efficiency_N_per_W,voltage_noload_v
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1200,1300,1200,63,63.0,2.8764,0.438,0.0552,-0.00959,0.00054,11.673,2.29,26.73,0.10761,11.896
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1200,1400,1200,101,39.2,3.8231,0.4186,0.0668,-0.03134,0.00132,11.679,3.485,40.7,0.09393,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1200,1400,1200,101,48.6,3.8615,0.441,0.0632,-0.03119,0.00195,11.53,3.378,38.95,0.09914,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1200,1400,1200,100,45.0,3.913,0.5103,0.076,-0.03356,0.00235,11.489,3.338,38.35,0.10203,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1200,1400,1200,99,61.5,4.0274,0.436,0.0556,-0.03132,0.00179,11.416,3.224,36.81,0.10941,
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1200,1400,1200,97,73.3,3.606,0.5354,0.0625,-0.02855,0.00121,11.427,3.296,37.66,0.09575,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1200,1400,1200,100,55.2,3.875,0.6856,0.0923,-0.03158,0.00101,11.343,3.262,37.0,0.10473,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1200,1400,1200,97,89.0,3.9525,0.5669,0.0601,-0.02931,0.0012,11.293,3.244,36.63,0.1079,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1200,1400,1200,100,88.6,4.0925,0.6578,0.0699,-0.02973,0.00116,11.242,3.155,35.47,0.11538,11.604
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1200,1500,1200,100,37.4,4.5099,0.8324,0.1362,-0.03732,0.00454,11.252,4.434,49.89,0.0904,11.438
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1200,1500,1200,100,37.7,4.6122,0.8366,0.1363,-0.03703,0.00495,11.133,4.317,48.06,0.09597,11.438
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1200,1500,1200,100,42.6,4.7498,0.798,0.1223,-0.03767,0.00565,11.132,4.348,48.4,0.09814,11.438
A1300_B1000-2000_0023,2026-07-24_s1,A1300_B1300,1300,1300,63,63.0,3.4094,0.5327,0.0671,0.00384,0.00078,11.854,3.321,39.37,0.0866,12.022
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1300,1300,1300,63,63.0,3.502,0.401,0.0505,0.0033,0.00055,11.775,3.274,38.55,0.09084,11.896
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1300,1300,1300,62,62.0,3.5758,0.527,0.0669,0.00409,0.00049,11.676,3.201,37.37,0.09569,11.896
