pass_,seq,pulse_us,theta_deg,theta_sd,theta_cross_deg,n,creep_dps,settled
dn,23,1810,10.280198750552083,0.2838483263350452,-0.32386285744372767,50,-0.04084854870218822,True
dn,22,1820,10.515165147793924,0.5629639206242583,-0.36161137156716416,50,-0.6120208569878267,False
dn,21,1830,10.99060855409578,0.2362795916969593,-0.3719237984059569,50,-0.28326811245982564,True
dn,20,1840,11.330670453778449,0.2870509081933234,-0.3646569495502613,50,0.1751308142373014,True
dn,19,1850,11.500425379770354,0.5887518395385294,-0.4951109996345614,50,0.597165603241343,False
dn,18,1860,11.891883782604411,0.6218016359787768,-0.44729761161141735,50,0.6565313695873425,False
dn,17,1870,12.139507867710746,1.3606596701218852,-0.4619749154780667,50,-2.6079801048502222,False
dn,16,1880,12.447832760336123,0.548825851918107,-0.6201034630608249,50,0.3672370885022679,True
dn,15,1890,12.728082896394355,0.5356558824982303,-0.5650704196400458,50,-0.22336907024114683,True
dn,14,1900,12.952519344843873,0.3668621074988888,-0.53732129210816,50,-1.1221202002488346,False
dn,13,1910,13.385388417990827,0.22578257350683492,-0.61787333920154,50,0.44877686814339746,True
dn,12,1920,13.658703923309242,0.2886097795939848,-0.747467087527991,50,-0.17934289340989126,True
dn,11,1930,13.931672068930672,0.2528188871802534,-0.8830287386779944,50,0.5369446493819833,False
dn,10,1940,14.038189467681281,0.21191644144624383,-0.8858326942890759,50,0.020061209978517413,True
dn,9,1950,14.19293109335181,0.22054637055502202,-0.9487745515502317,50,0.17053647849130754,True
dn,8,1960,14.256468063699764,0.28172380861022583,-1.029034577949225,50,0.4329575946839991,True
dn,7,1970,14.522435921230683,0.21314992055197154,-0.9393644101920362,50,0.23494980355595577,True
dn,6,1980,14.703747915379573,0.21372004849357173,-0.9165712566913774,50,-0.03879866248853224,True
dn,5,1990,14.775355491735136,0.24687058124320435,-0.9067045000345408,50,-1.1656835016719538,False
dn,4,2000,14.821914021492725,0.274640136071026,-0.9484413035003993,50,-0.6760718572086954,False
dn,3,2010,14.886325211328337,0.2357347058366977,-0.8791951580810897,50,0.18023645614397352,True
dn,2,2020,14.944875230122705,0.23803254111127145,-0.8260560142536454,50,0.4220738781009446,True
dn,1,2030,14.971786058898452,0.26805667820311635,-0.7831458896759265,50,0.7397112960094204,False
dn,0,2040,14.88083706064452,0.21409888746459946,-0.8173443718900311,50,0.26262164844879227,True
dn2,73,1310,-7.294585472482312,0.23688292045934714,-0.11939779713471438,50,-0.1625931558180056,True
dn2,72,1320,-6.931177138184265,0.2267999264687371,-0.12144995902457681,50,-0.6035962336099366,False
dn2,71,1330,-6.734244001017383,0.1918266543184189,-0.11670150456777748,50,-0.1607956527270668,True
dn2,70,1340,-6.49987354661859,0.1935213374061462,-0.10380597382600143,50,0.39184877585217587,True
dn2,69,1350,-6.00844154171821,0.2063253762333062,-0.05400175565946057,50,0.40966094649150997,True
dn2,68,1360,-5.5322796845648625,0.20139823154338937,-0.12898282951785375,50,0.2676927406120934,True
