a_us,b_us,n,thrust_N,thrust_s,thrust_sem,thrust_sem_corr,thrust_tau,thrust_neff,thrust_drift,torque_Nm,torque_s,torque_sem_corr,torque_tau,flags,run
1100,1300,151,2.350631258278145,0.4041323906086628,0.03288782752929279,0.04457618292205625,1.8371109312327203,82.19427440817493,0.002399871947062272,0.025373377483443683,0.0068454332112649835,0.0005570734542616239,1.0,,A1100_B1000-2000_2026-07-31_021029
1100,1400,151,3.214578278145695,0.25215448871875246,0.020520041274666327,0.027446709908864764,1.789056780797297,84.40201653784656,0.03491287913399389,0.03894291390728474,0.007809034220218185,0.0009433675399567892,2.203657788162799,,A1100_B1000-2000_2026-07-31_021029
1100,1500,148,4.176826756756756,0.2137861318189682,0.017573111785483996,0.02139519119135104,1.4822962169502365,99.84509054776103,0.014854605567567437,0.05267054054054052,0.006433599492268439,0.0005453888868506955,1.063570397283453,,A1100_B1000-2000_2026-07-31_021029
1100,1600,151,5.209253774834436,0.2330713386890853,0.018967076549552164,0.018967076549552164,1.0,151.0,0.04006021141504698,0.06959192052980132,0.005770741456142563,0.0004696162795561093,1.0,,A1100_B1000-2000_2026-07-31_021029
1100,1700,151,6.575260397350993,0.1903510522442882,0.015490548943134773,0.04198474975085656,7.345976274321487,20.555470690510386,0.04008101514923809,0.09137999999999999,0.006111191918657657,0.0008706323405922416,3.064747453014652,,A1100_B1000-2000_2026-07-31_021029
1100,1800,151,8.237611390728476,0.20477185970095182,0.016664097610574167,0.016664097610574167,1.0,151.0,0.1382428099261616,0.11632039735099335,0.0059835683757876665,0.0004869358886484095,1.0,,A1100_B1000-2000_2026-07-31_021029
1100,1900,149,9.98954818791946,0.3687634948663147,0.030210282611664436,0.031051800443985995,1.0564866094030692,141.03349599876827,0.014547739983077488,0.14489677852348992,0.007273242359280557,0.0005958472306393848,1.0,,A1100_B1000-2000_2026-07-31_021029
1100,2000,151,11.561094834437085,0.24374079598856457,0.019835344670718957,0.02095051811028675,1.1156039219374556,135.3526973424046,0.0708346201644735,0.17222105960264897,0.005450495653585756,0.0004435550457470456,1.0,,A1100_B1000-2000_2026-07-31_021029
1200,1000,151,1.0131191125827816,0.30749390058381193,0.025023498743763244,0.025023498743763244,1.0,151.0,0.0008817769462516099,-0.018938874172185448,0.0032367099639492684,0.00048107054587814585,3.335699445870998,,A1200_B1000-2000_2026-07-31_021641
1200,1100,148,1.3172954594594597,0.32754604502358164,0.026924119048875893,0.026924119048875893,1.0,148.0,0.013811925947369168,-0.012465945945945961,0.0031744275476944953,0.0002924638580493446,1.2562477190298966,,A1200_B1000-2000_2026-07-31_021641
1200,1200,151,2.021152225165563,0.34567388617740424,0.0281305419069747,0.0281305419069747,1.0,151.0,0.004172226816529773,0.00046509933774833024,0.004582142128968308,0.0006660009502779375,3.189991552121882,,A1200_B1000-2000_2026-07-31_021641
1200,1300,151,2.840311165562914,0.3503051654807169,0.028507430071612855,0.028507430071612855,1.0,151.0,0.04586348408422308,0.01363728476821191,0.004065055954313517,0.0005630839798147445,2.8972784388415436,,A1200_B1000-2000_2026-07-31_021641
1200,1400,151,3.7186091788079474,0.37900946047008893,0.030843352469564236,0.030843352469564236,1.0,151.0,0.011680870532376963,0.025690264900662237,0.0032738983790011706,0.000266426071602076,1.0,,A1200_B1000-2000_2026-07-31_021641
1200,1500,149,4.614992040268457,0.44971676284923273,0.036842232731858285,0.036842232731858285,1.0,149.0,0.05124926128263366,0.041837382550335554,0.005075299138564117,0.0006438220895217437,2.3976993497867802,,A1200_B1000-2000_2026-07-31_021641
1200,1600,151,5.640198582781458,0.3894161534579061,0.03169023713431027,0.03169023713431027,1.0,151.0,0.06217644721760157,0.05821344370860928,0.005814756291408679,0.0005259908961666609,1.2355785713125342,,A1200_B1000-2000_2026-07-31_021641
1200,1700,151,7.067595933774835,0.3979322533220895,0.03238326751263178,0.03238326751263178,1.0,151.0,0.025026491109187105,0.07977635761589402,0.0047277023994668835,0.00038473496491908676,1.0,,A1200_B1000-2000_2026-07-31_021641
