pass_,seq,pulse_us,theta_deg,theta_sd,theta_cross_deg,n,creep_dps,settled
dn2,18,1520,-0.3530633561235021,0.2452277542954536,-0.15191070154664374,50,-0.2515923116162424,True
dn2,19,1520,-0.8069698048146103,0.21015232776337364,-0.09628775109493688,50,0.47678454209670146,True
dn2,20,1520,-1.1621906199882674,0.21763120578853934,-0.0668200904353347,50,-0.15197574882614617,True
dn2,21,1520,-1.829517837374226,0.2293113853844511,-0.09033948327708913,50,-0.1784892162741135,True
dn2,22,1520,-2.322744330458046,0.20408393774597477,-0.1369767080851136,50,0.7651117940512496,False
dn2,23,1520,-3.198833028222706,0.21412262679951946,-0.10173259327453082,50,0.7487275128639546,False
dn2,24,1520,-3.684978632374908,0.22768894274128815,-0.17765348662590724,50,-0.24660579524883217,True
dn2,25,1520,-4.231356297823071,0.22181891542788942,-0.14385328509629972,50,-0.3230386274035901,True
dn2,26,1520,-4.89960692669904,0.23314405919779083,-0.14859531238163357,50,-0.3760087087527475,True
dn2,27,1520,-5.754226468376052,0.18715198853340295,-0.1233425051125613,50,0.3148479819369259,True
dn2,28,1520,-6.623258405832018,0.1908773793995301,-0.21286464616065418,50,0.6511148641012711,False
dn2,29,1520,-6.810416441644055,0.22100794418857594,-0.12125446566587357,50,-0.17886811558353233,True
dn2,30,1520,-7.432035050229971,0.22038923342350952,-0.09623450913900115,50,0.3070380288732806,True
dn2,31,1520,-7.990739010481085,0.19039630858857723,-0.15974183514882498,50,-0.02274468205656071,True
dn2,32,1520,-8.453217107362489,0.2334389085089471,-0.21696625183219567,50,-0.36612084185094795,True
up,0,1520,-8.67793144779708,0.24954856943391243,-0.07340722849537144,50,0.029986518770418295,True
up,1,1520,-8.573234343121488,0.2302274956209133,-0.042903754090753525,50,0.08343286240379683,True
up,2,1520,-8.216715502290626,0.22454000148177866,-0.042822527214610204,50,-0.20898489349100619,True
up,3,1520,-7.572749597785279,0.2190084763254114,-0.11482750365557934,50,0.44653164551233093,True
up,4,1520,-7.175107254202934,0.25460380024814755,-0.045921298653530014,50,-0.4360900235630258,True
up,5,1520,-6.530155787806764,0.20556274472193614,-0.01256695047485607,50,-0.08212971689638306,True
up,6,1520,-5.78619728464994,0.20522466566967054,-0.06502131515946133,50,0.3057658457641286,True
up,7,1520,-5.069798291414046,0.2474161842952099,-0.10627968463689798,50,-0.1726840720781306,True
up,8,1520,-4.553885214415164,0.23958862985072132,-0.09114552167368459,50,-0.36357877134625194,True
up,9,1520,-3.890207951472995,0.1550761846261009,-0.07180719281920232,50,-0.08381214828562272,True
up,10,1520,-3.078150418560284,0.2121891999831923,-0.09895647134632157,50,-0.09434182198388716,True
up,11,1520,-2.5027252999541507,0.19685217459585644,-0.020919043915107523,50,-0.13867252926015758,True
up,12,1520,-1.8233295435221737,0.24382416172160443,0.002789819072239085,50,-0.27361090848059894,True
up,13,1520,-1.532223970838579,0.20046554653772822,0.007981673673587012,50,0.626291806384254,False
up,14,1520,-1.0261615245643776,0.2318612902186824,0.11019367234924686,50,-0.23233847826323747,True
up,15,1520,-0.20824792850420012,0.19361349265935243,0.012091204818333949,50,-0.5393642212801687,False
up,16,1520,0.1461457994674049,0.20372341206733824,0.011056440951711011,50,-0.12922335819919673,True
up,17,1520,0.9087490455312616,0.24026382067662205,0.053489215248520176,50,-0.009983483077139069,True
up,18,1520,1.2945759528096359,0.25830825530885954,-0.014326858922480028,50,0.6618109886071386,False
up,19,1520,1.884053694542131,0.21573970499131687,0.0077430852651696105,50,-0.9572391004093036,False
up,20,1520,2.5372291104688327,0.212141941400165,0.00871513270002879,50,-0.13010503644445634,True
up,21,1520,3.145555007595723,0.20482383283376124,0.02000426975125095,50,0.34085112889382735,True
up,22,1520,3.758955053763868,0.205494489880705,0.10606633134930234,50,-0.8209108145717283,False
up,23,1520,4.214963254805497,0.21675183440546394,0.01509763579307844,50,-0.26700231809283237,True
up,24,1520,4.69777937047622,0.20473641587010616,0.03790980136533506,50,-0.039269354824234576,True
up,25,1520,5.265871429528265,0.28541701093460675,0.028280969202563712,50,-0.7976784132227515,False
up,26,1520,5.67752559296196,0.21874354876938992,0.04807076150571789,50,0.17457838584006324,True
up,27,1520,6.200820640017392,0.213815050413325,0.00953714085698266,50,-0.6263286725563101,False
up,28,1520,6.742021682846516,0.17696961734522187,0.005106481545776661,50,-0.28331087037249203,True
up,29,1520,7.542921825167386,0.24210525473116834,0.053177180637607076,50,-0.04777856084802004,True
up,30,1520,7.695682369855113,0.2436990815131273,-0.023009127171650903,50,-0.19514987362486205,True
up,31,1520,7.990787485374112,0.22242657200951052,0.04532689766948011,50,0.8523332141522624,False
up,32,1520,8.255093827836554,0.3830015688645412,0.07381359315896134,50,-0.44977020867629963,True
up2,0,1520,-8.46814384626199,0.20347155202253012,-0.13526202358793513,50,0.34639643393536346,True
up2,1,1520,-8.340758759535682,0.21122604656410734,-0.14408684000592645,50,-0.4064939249572104,True
up2,2,1520,-7.978852569050458,0.22646756705581284,-0.1324387639567749,50,0.018139626254773875,True
up2,3,1520,-7.508609656844677,0.2279717810399534,-0.09439527785717701,50,-0.2870692695646281,True
up2,4,1520,-7.1334982497053865,0.21962343308725077,-0.16894757278059558,50,-0.5915362974033801,False
up2,5,1520,-6.546329392546171,0.21191691003745466,-0.1497279204112408,50,-0.48772549377522606,True
up2,6,1520,-5.84074859772153,0.1731372219103595,-0.15542094291916614,50,-0.40861287087723935,True
up2,7,1520,-5.139687275290895,0.18719676543688937,-0.17009388199619538,50,-0.2198418578615856,True
up2,8,1520,-4.537391175446743,0.19107439831073864,-0.14360814489776544,50,-0.016216553264593668,True
up2,9,1520,-4.023189693545542,0.2045073587059937,-0.1502357817596652,50,0.11605704280832488,True
up2,10,1520,-3.058257290106975,0.20385886188212884,-0.09372103783637271,50,0.2522281250925396,True
up2,11,1520,-2.4476086482670314,0.2604643499185926,-0.1586402241481028,50,0.8507470056383363,False
up2,12,1520,-1.9268086963476376,0.20459005936766805,-0.11338161334157065,50,0.1233262344652004,True
up2,13,1520,-1.56907848299436,0.19161105865647757,-0.14341315568172378,50,-0.35764715343282655,True
up2,14,1520,-1.1319644566791782,0.24060523553505003,-0.1153049624355458,50,0.18445787452118892,True
up2,15,1520,-0.16155715779317917,0.23255030016755632,-0.1206533946382416,50,0.22299349224125314,True
up2,16,1520,0.17558770119066308,0.2538878114442403,-0.08804464389371561,50,-0.12200296803760753,True
up2,17,1520,0.91463607408541,0.2615948758127448,-0.11665088264472559,50,0.056455182990158115,True
up2,18,1520,1.3075473287107775,0.26685388565442336,-0.11992303325623198,50,-0.5292496030438741,False
up2,19,1520,1.9146717004281266,0.21241626127969773,-0.18473729349895507,50,0.14363735837545488,True
up2,20,1520,2.6741130113687364,0.2504539830582445,-0.19950853687023198,50,-0.38783581559288177,True
up2,21,1520,3.172891996121507,0.20372334308214496,-0.10145377960382916,50,0.6518881189658002,False
up2,22,1520,3.7896573352228162,0.45052179478116106,-0.16006507376329182,50,-0.22080932210709675,True
up2,23,1520,4.203127694032889,0.21999660607803773,-0.08254895545076124,50,0.6778464182362293,False
up2,24,1520,4.713304906952058,0.2143837907864059,-0.1593905873981055,50,-0.30055298705953054,True
up2,25,1520,5.369015152451331,0.19891695274069465,-0.07056223960733349,50,0.04367835859747542,True
up2,26,1520,5.60032513203428,0.20531344233892676,-0.07922470149482479,50,0.5260227086695909,False
up2,27,1520,6.1242433228989634,0.22528066560817844,-0.09694535099700147,50,-0.5541920730033792,False
up2,28,1520,6.773860620135926,0.2374679068918194,-0.13374126012326315,50,0.4208146098064196,True
up2,29,1520,7.5757079532445015,0.200646340130698,-0.1230406516457191,50,0.16765524789581412,True
up2,30,1520,7.81028855788723,0.23697592197003042,-0.014340627190452437,50,0.1705847997341106,True
up2,31,1520,7.993778145053151,0.19591482417344208,-0.008746874304122229,50,-0.6773187671166087,False
up2,32,1520,8.440093193662305,0.46032719865854405,0.06404468414069356,50,-1.2207240094964689,False
