phase,seq,pulse_us,theta_deg,theta_sd_deg,cross_deg,creep_dps,settled
dn2,1360,1360,-5.896212224042446,0.23781819308831292,0.08892907843786758,0.05498561942929081,True
dn2,1370,1370,-5.470870234556269,0.2192698712369008,0.09228535706755321,-0.09079352364294825,True
dn2,1380,1380,-5.276477531778708,0.21253504891479624,0.0641738310597612,0.24198058330016917,True
dn2,1390,1390,-4.941623245670331,1.9012077153987321,0.06868318793979995,-0.13761590135884225,True
dn2,1400,1400,-4.477685640846574,2.139253151589843,0.26276669457303686,0.17363859221909494,True
dn2,1410,1410,-4.402860908501856,0.2281978182771744,0.050226618406545014,0.02788780608835178,True
dn2,1420,1420,-3.9113296701786937,0.2290064234587716,0.044453284038559505,-0.20272425629543106,True
dn2,1430,1430,-3.708862707614519,0.2140268842666392,0.046334146531691774,0.01640502420260224,True
dn2,1440,1440,-2.630016830908759,8.091442735532691,0.40611905517743174,3.352107940598617,False
dn2,1450,1450,-2.574453719294832,0.22488879348411314,0.06290475514833525,-0.027069968281875367,True
dn2,1460,1460,-2.2276170455887496,2.039838394452787,0.22342218611026504,0.09845495787581211,True
dn2,1470,1470,-1.967025224350625,0.22447242336066794,0.010842331023316092,0.046424468132052456,True
dn2,1480,1480,-1.5761442488182351,0.2223897465728487,0.017659100442628074,0.018880375043130546,True
dn2,1490,1490,-1.029270977782418,0.22585948313231863,0.020189690813753828,-0.028911347732792723,True
dn2,1500,1500,-0.6712841079494912,0.2267734362251117,-0.01585103110549943,-0.018525160098002202,True
dn2,1510,1510,-0.3333108313072729,0.2210348417197887,-0.02368721302880283,0.0642871174404729,True
dn2,1520,1520,0.1900309683555978,0.2360137573626917,-0.0050134343360117555,0.0057242082128752736,True
dn2,1530,1530,0.3949334546857685,0.22849213439297222,-0.0008824714219788916,-0.01870178405869675,True
dn2,1540,1540,0.8430259437664493,0.22836970518475871,-0.020674299061130965,-0.0023238351795827894,True
dn2,1550,1550,1.1613728782720751,0.22993058975024303,-0.040852129662570236,0.04567496628336973,True
dn2,1560,1560,1.5612114327709465,0.22591879716519236,-0.0474868054226435,0.030652145539638697,True
dn2,1570,1570,1.9447416076976933,0.22328093070158722,-0.038166591393216834,0.06792329321768063,True
dn2,1580,1580,2.3049499050624074,0.23145367669212016,-0.08858867294407151,-0.009548437954561739,True
dn2,1590,1590,2.711282237283751,0.22229015302905705,-0.05756290176786291,-0.025387086319754046,True
dn2,1600,1600,2.9757687660482155,0.23232361223196912,-0.09987066236607268,-0.1316722190900158,True
dn2,1610,1610,3.2963999444709997,0.23146755572704916,-0.14399408410225367,-0.10413940756821853,True
dn2,1620,1620,3.708190451470662,0.23660768770497836,-0.12156838640248054,-0.02776574014953862,True
dn2,1630,1630,3.9754532489148517,0.2402345442159443,-0.15808120019942065,-0.18035867304263517,True
dn2,1640,1640,4.460643518426237,0.23298060559802974,-0.1361003137160887,-0.09802980603014437,True
dn2,1650,1650,5.108341834914909,7.74525428233278,0.21390957978168165,3.8759265257298905,False
dn2,1660,1660,5.1524472050101044,0.23070830603910664,-0.181998449092609,-0.1151897500017195,True
dn2,1670,1670,5.468214328180924,0.22429722674157562,-0.18605404189932886,0.1343724367334609,True
dn2,1680,1680,5.7669529302287295,0.23416874384797096,-0.27465673564352394,-0.05400578381718001,True
dn2,1690,1690,6.187950130662663,0.23330699432799662,-0.24554256648545322,0.15949635800415277,True
dn2,1700,1700,6.51308283183337,0.2286106943577429,-0.2621338377079429,0.034719907120763345,True
dn2,1710,1710,6.979268100692004,0.21887653799737136,-0.266660552712343,-0.04410230222254049,True
dn2,1720,1720,7.286168776928951,0.22941213715002787,-0.30327048228439046,-0.10461617665936157,True
