seg_id,kind,a_us,b_us,sweep,planned_dwell_s,min_dwell_s,max_dwell_s,t_mono_start,t_mono_end,actual_dwell_s,n_loadcell,dwell_reason,thrust_mean_n,thrust_sem_n
52,step,1600,1600,1,4.0,4.0,4.0,343042.878132,343046.878254,4.000122,200,planned,8.266087,0.084671
53,reference,1500,1500,1,4.0,4.0,4.0,343046.882958,343050.884051,4.001093,201,planned,5.746037,0.081867
54,step,1600,2000,1,4.0,4.0,4.0,343050.88463,343054.88502,4.00039,200,planned,15.780497,0.068204
55,step,1400,1500,1,4.0,4.0,4.0,343054.890516,343058.892121,4.001605,200,planned,4.875242,0.105868
56,step,1600,1800,1,4.0,4.0,4.0,343058.899158,343062.899999,4.000841,201,planned,11.741907,0.100776
57,step,1300,1000,1,4.0,4.0,4.0,343062.906027,343066.906439,4.000413,200,planned,1.68645,0.033158
58,ramp_between,1300,1125,1,0.05,0.05,0.05,343066.911701,343066.962491,0.05079,3,planned,1.551437,
59,ramp_between,1300,1250,1,0.05,0.05,0.05,343066.962741,343067.014554,0.051813,2,planned,1.630454,
60,ramp_between,1300,1375,1,0.05,0.05,0.05,343067.014759,343067.065019,0.05026,3,planned,1.405341,
61,ramp_between,1300,1500,1,0.05,0.05,0.05,343067.065185,343067.117137,0.051953,2,planned,2.23321,
62,ramp_between,1300,1625,1,0.05,0.05,0.05,343067.117325,343067.169546,0.052221,3,planned,2.135067,
63,ramp_between,1300,1750,1,0.05,0.05,0.05,343067.169802,343067.22228,0.052479,3,planned,4.187168,
64,ramp_between,1300,1875,1,0.05,0.05,0.05,343067.222471,343067.273129,0.050659,2,planned,4.578961,
65,ramp_between,1300,2000,1,0.05,0.05,0.05,343067.273379,343067.323955,0.050576,3,planned,6.39655,
66,step,1300,2000,2,4.0,4.0,4.0,343067.324172,343071.324966,4.000793,200,planned,12.753302,0.110968
67,step,1300,1800,2,4.0,4.0,4.0,343071.329133,343075.329761,4.000627,200,planned,8.38589,0.119353
68,step,1600,1600,2,4.0,4.0,4.0,343075.335981,343079.338021,4.00204,200,planned,8.521453,0.128332
69,step,1500,1900,2,4.0,4.0,4.0,343079.344424,343083.346824,4.0024,201,planned,12.433948,0.132548
70,step,1500,1300,2,4.0,4.0,4.0,343083.353087,343087.354167,4.00108,200,planned,4.007899,0.075474
71,step,1500,1600,2,4.0,4.0,4.0,343087.360246,343091.360563,4.000317,201,planned,7.063471,0.069823
72,step,1300,1000,2,4.0,4.0,4.0,343091.366072,343095.367912,4.001839,200,planned,1.674927,0.042902
73,step,1500,1500,2,4.0,4.0,4.0,343095.374416,343099.375898,4.001482,200,planned,5.85653,0.106889
74,reference,1500,1500,2,4.0,4.0,4.0,343099.383257,343103.385065,4.001808,201,planned,5.75756,0.111267
75,step,1400,1600,2,4.0,4.0,4.0,343103.385688,343107.387046,4.001358,200,planned,5.857263,0.130835
76,step,1400,1500,2,4.0,4.0,4.0,343107.391974,343111.394347,4.002373,200,planned,4.8069,0.092976
77,step,1300,1900,2,4.0,4.0,4.0,343111.40024,343115.402424,4.002184,201,planned,10.244511,0.090386
78,step,1300,1400,2,4.0,4.0,4.0,343115.40778,343119.409829,4.002049,200,planned,2.853327,0.054954
79,step,1600,2000,2,4.0,4.0,4.0,343119.415858,343123.417003,4.001145,200,planned,15.874738,0.084979
80,step,1400,1000,2,4.0,4.0,4.0,343123.422291,343127.424129,4.001839,201,planned,3.07112,0.066895
81,step,1400,1800,2,4.0,4.0,4.0,343127.42948,343131.429743,4.000263,200,planned,9.433775,0.105615
82,step,1400,1700,2,4.0,4.0,4.0,343131.435856,343135.436752,4.000896,200,planned,7.85135,0.11305
83,reference,1500,1500,2,4.0,4.0,4.0,343135.440423,343139.440879,4.000456,201,planned,5.809951,0.098488
84,step,1400,1300,2,4.0,4.0,4.0,343139.441235,343143.443534,4.002299,200,planned,2.849612,0.063478
85,step,1300,1600,2,4.0,4.0,4.0,343143.449155,343147.449774,4.000618,200,planned,5.186723,0.133651
86,step,1600,1100,2,4.0,4.0,4.0,343147.455923,343151.456121,4.000198,200,planned,4.399799,0.094074
87,step,1400,1400,2,4.0,4.0,4.0,343151.459883,343155.461314,4.001431,201,planned,3.85787,0.13299
88,step,1600,1500,2,4.0,4.0,4.0,343155.465378,343159.466468,4.00109,200,planned,6.849084,0.107058
89,step,1300,1300,2,4.0,4.0,4.0,343159.471748,343163.474359,4.002612,200,planned,2.12382,0.047129
90,step,1300,1700,2,4.0,4.0,4.0,343163.478465,343167.479486,4.001021,201,planned,6.855649,0.095085
