t_mono,dev_t,seg_id,voltage_v,current_a,remaining_pct
342966.856517,,33,12.115,6.994,90
342966.961791,,33,11.917,11.377,90
342967.06718,,33,11.767,14.707,90
342967.119651,,33,11.709,15.998,90
342967.224861,,33,11.619,17.984,90
342967.330226,,33,11.557,19.347,90
342967.435268,,33,11.515,20.264,90
342967.540612,,33,11.487,20.88,90
342967.645585,,33,11.468,21.287,90
342967.751306,,33,11.456,21.559,90
342967.856476,,33,11.447,21.738,90
342967.961413,,33,11.441,21.856,90
342968.067063,,33,11.437,21.935,90
342968.119467,,33,11.436,21.963,90
342968.224705,,33,11.433,22.005,90
342968.33,,33,11.431,22.033,90
342968.435704,,33,11.43,22.052,90
342968.540658,,33,11.429,22.065,90
342968.645985,,33,11.428,22.074,90
342968.75095,,33,11.427,22.08,90
342968.856961,,33,11.427,22.084,90
342968.96181,,33,11.426,22.088,89
342969.067057,,33,11.425,22.09,89
342969.171882,,33,11.425,22.092,89
342969.22487,,33,11.424,22.093,89
342969.330004,,33,11.424,22.095,89
342969.435265,,33,11.423,22.096,89
342969.540624,,33,11.422,22.097,89
342969.646018,,33,11.422,22.099,89
342969.75132,,33,11.421,22.1,89
342969.856699,,33,11.421,22.101,89
342969.961612,,33,11.42,22.102,89
342970.066701,,33,11.42,22.103,89
342970.11966,,33,11.419,22.104,89
342970.225059,,33,11.419,22.105,89
342970.330001,,33,11.418,22.106,89
342970.435727,,33,11.418,22.107,89
342970.54033,,33,11.417,22.108,89
342970.646154,,33,11.416,22.109,89
342970.751324,,34,11.416,22.111,89
342970.856477,,34,11.809,13.354,89
342970.961812,,34,12.021,8.652,89
342971.066984,,34,12.139,6.019,89
342971.119428,,34,12.178,5.157,89
342971.224609,,34,12.231,3.98,89
342971.330272,,34,12.263,3.265,89
342971.435517,,34,12.282,2.826,89
342971.540615,,34,12.295,2.551,89
342971.645983,,34,12.303,2.375,89
342971.75131,,34,12.308,2.262,89
342971.856265,,34,12.311,2.189,89
342971.961385,,34,12.313,2.141,89
342972.067037,,34,12.314,2.11,89
342972.119595,,34,12.315,2.099,89
342972.224632,,34,12.315,2.083,89
342972.329844,,34,12.316,2.072,89
342972.435046,,34,12.316,2.065,89
342972.540354,,34,12.316,2.06,89
342972.645614,,34,12.316,2.057,89
342972.751208,,34,12.316,2.055,89
342972.856425,,34,12.316,2.054,89
342972.961462,,34,12.316,2.053,89
342973.067331,,34,12.316,2.053,89
342973.120082,,34,12.316,2.052,89
342973.224666,,34,12.316,2.052,89
342973.330112,,34,12.316,2.052,89
342973.435277,,34,12.316,2.052,89
342973.540611,,34,12.316,2.052,89
342973.64632,,34,12.316,2.052,89
342973.751273,,34,12.316,2.052,89
342973.856377,,34,12.316,2.052,89
342973.961347,,34,12.316,2.052,89
342974.06677,,34,12.316,2.052,89
342974.119434,,34,12.316,2.052,89
342974.224723,,34,12.316,2.052,89
342974.330057,,34,12.316,2.052,89
342974.435309,,34,12.316,2.052,89
342974.540347,,34,12.316,2.052,89
342974.645968,,34,12.316,2.052,89
342974.750858,,34,12.316,2.052,89
342974.856513,,35,12.267,3.135,89
342974.961597,,35,12.227,4.009,89
342975.067044,,35,12.2,4.625,89
342975.11974,,35,12.189,4.856,89
342975.224982,,35,12.174,5.202,89
