run,phase,a_us,b_us,n,thrust_N,thrust_std,torque_Nm,voltage_V,current_A
A1400_B1000-2000_2026-07-31_023421,A1400_B1600,1400,1600,151,7.631759059602649,0.8773937330625404,0.027976940397350963,11.58091216216216,8.17027027027027
A1400_B1000-2000_2026-07-31_023421,A1400_B1700,1400,1700,148,8.975140972972973,0.7977772738436661,0.05040583783783781,11.49169387755102,10.606054421768707
A1400_B1000-2000_2026-07-31_023421,A1400_B1800,1400,1800,151,10.507818662251657,0.9585128848361468,0.07951336423841057,11.367885906040268,13.888523489932885
A1400_B1000-2000_2026-07-31_023421,A1400_B1900,1400,1900,151,12.164553761589406,0.8383748508329602,0.10610276821192051,11.208677852348993,17.952818791946306
A1400_B1000-2000_2026-07-31_023421,A1400_B2000,1400,2000,151,13.712434556291392,0.9065809932973493,0.13597694039735098,11.055412162162161,22.114932432432433
A1500_B1000-2000_2026-07-31_024313,A1500_B1000,1500,1000,151,3.774813604578921,0.5678341877269684,-0.061168946874463025,11.877026845637584,3.706040268456376
A1500_B1000-2000_2026-07-31_024313,A1500_B1100,1500,1100,151,4.036548703916669,0.6458724209614385,-0.054102721708900126,11.84672972972973,4.019459459459459
A1500_B1000-2000_2026-07-31_024313,A1500_B1200,1500,1200,149,4.612900186204771,0.8338395748325405,-0.038979249554582145,11.818333333333333,4.709251700680272
A1500_B1000-2000_2026-07-31_024313,A1500_B1300,1500,1300,151,5.46760168404912,0.8872494569113734,-0.024566297867840512,11.769926174496645,5.566174496644296
A1500_B1000-2000_2026-07-31_024313,A1500_B1400,1500,1400,151,6.2200387701418345,0.5475936104879875,-0.007553052834727931,11.734436241610739,6.674228187919463
A1500_B1000-2000_2026-07-31_024313,A1500_B1500,1500,1500,151,7.073912942327265,0.5339249976936293,0.009029728622225711,11.684364864864865,7.936891891891892
A1500_B1000-2000_2026-07-31_024313,A1500_B1600,1500,1600,148,8.160228138317958,0.8704271679534528,0.017367521713330062,11.62939455782313,9.498095238095239
A1500_B1000-2000_2026-07-31_024313,A1500_B1700,1500,1700,151,9.486972544976272,1.1327097497296392,0.0455793974963979,11.539826666666666,11.946933333333334
A1500_B1000-2000_2026-07-31_024313,A1500_B1800,1500,1800,151,11.078773869479583,0.9174096145928093,0.06987078822487472,11.41355033557047,15.295436241610739
A1500_B1000-2000_2026-07-31_024313,A1500_B1900,1500,1900,151,12.721045392658391,0.8492285893474415,0.09915555643679524,11.259168918918919,19.243986486486488
A1500_B1000-2000_2026-07-31_024313,A1500_B2000,1500,2000,151,14.124230823121968,0.923578669424457,0.13259264252951047,11.118297297297298,23.46668918918919
A1600_B1000-2000_2026-07-31_025055,A1600_B1000,1600,1000,151,4.469580834437085,0.6490972046531619,-0.07450907284768216,11.773114093959732,4.916577181208054
A1600_B1000-2000_2026-07-31_025055,A1600_B1100,1600,1100,148,4.6033735675675675,0.6057741993265798,-0.06728891891891897,11.738621621621622,5.3360810810810815
A1600_B1000-2000_2026-07-31_025055,A1600_B1200,1600,1200,151,5.280421894039734,0.6061000164544257,-0.05532364238410601,11.708413333333333,5.9266
A1600_B1000-2000_2026-07-31_025055,A1600_B1300,1600,1300,151,5.936117258278146,0.5829147721537905,-0.04145609271523183,11.668866666666666,6.7909999999999995
A1600_B1000-2000_2026-07-31_025055,A1600_B1400,1600,1400,151,6.733547721854304,0.7512223722025971,-0.023144834437086138,11.617442953020134,7.852013422818792
A1600_B1000-2000_2026-07-31_025055,A1600_B1500,1600,1500,151,7.462117258278146,0.6313481337837245,-0.016469337748344415,11.567871621621622,9.088243243243243
A1600_B1000-2000_2026-07-31_025055,A1600_B1600,1600,1600,150,8.385852666666667,0.6168868976472827,0.0004433333333332895,11.50206081081081,10.56168918918919
A1600_B1000-2000_2026-07-31_025055,A1600_B1700,1600,1700,148,9.67386681081081,0.6418772323717211,0.024778648648648604,11.419272108843538,12.971972789115647
A1600_B1000-2000_2026-07-31_025055,A1600_B1800,1600,1800,151,11.172594079470198,0.7379022854716325,0.053245894039735064,11.293489932885906,16.2151677852349
A1600_B1000-2000_2026-07-31_025055,A1600_B1900,1600,1900,151,12.878620569536423,0.8059303077684705,0.08733198675496685,11.141597315436242,20.228120805369127
A1600_B1000-2000_2026-07-31_025055,A1600_B2000,1600,2000,151,14.234766264900662,1.238953023503156,0.11492139072847678,10.982614864864864,24.326756756756758
A1700_B1000-2000_2026-07-31_025921,A1700_B1000,1700,1000,151,5.675793721854306,0.33655889073798595,-0.09616350993377484,11.744677852348994,7.2805369127516775
A1700_B1000-2000_2026-07-31_025921,A1700_B1100,1700,1100,148,5.916673621621622,0.39166072958630027,-0.08919000000000002,11.700121621621621,7.5926351351351355
A1700_B1000-2000_2026-07-31_025921,A1700_B1200,1700,1200,151,6.516634781456954,0.3818479007486761,-0.07732245033112584,11.66208,8.186200000000001
A1700_B1000-2000_2026-07-31_025921,A1700_B1300,1700,1300,151,7.057959284768213,0.37184023043075876,-0.06615688741721855,11.626520000000001,8.966266666666668
A1700_B1000-2000_2026-07-31_025921,A1700_B1400,1700,1400,151,7.692681139072849,0.34019518386424047,-0.050209867549668885,11.574302013422818,9.940536912751678
A1700_B1000-2000_2026-07-31_025921,A1700_B1500,1700,1500,151,8.468270543046357,0.32722586512754964,-0.0358919867549669,11.531798657718122,11.111140939597314
A1700_B1000-2000_2026-07-31_025921,A1700_B1600,1700,1600,150,9.265738666666667,0.3122303452403191,-0.01985666666666668,11.469587837837839,12.477972972972973
A1700_B1000-2000_2026-07-31_025921,A1700_B1700,1700,1700,148,10.518477675675676,0.3382077582184331,0.005715405405405394,11.386999999999999,14.86809523809524
A1700_B1000-2000_2026-07-31_025921,A1700_B1800,1700,1800,151,12.01412484768212,0.43337607514465404,0.03512788079470198,11.263348993288592,18.111677852348993
A1700_B1000-2000_2026-07-31_025921,A1700_B1900,1700,1900,151,13.500085112582783,0.9989580493364176,0.06801529801324502,11.12355033557047,22.00496644295302
A1700_B1000-2000_2026-07-31_025921,A1700_B2000,1700,2000,151,14.851442728476822,1.3630172314241198,0.09848549668874172,10.96806081081081,26.02831081081081
A1800_B1000-2000_2026-07-31_030736,A1800_B1000,1800,1000,151,7.197339665040778,0.6466666603894353,-0.12074715469722808,11.687655405405405,10.143445945945945
A1800_B1000-2000_2026-07-31_030736,A1800_B1100,1800,1100,151,7.25549860543813,0.8161351791670867,-0.11187298251179761,11.640993243243242,10.388445945945946
A1800_B1000-2000_2026-07-31_030736,A1800_B1200,1800,1200,149,7.753812308269367,0.34574801871635646,-0.10131575774625247,11.591337837837838,10.935743243243243
A1800_B1000-2000_2026-07-31_030736,A1800_B1300,1800,1300,151,8.285975426630182,0.3337616778390907,-0.08847563151842013,11.547193333333333,11.710733333333332
A1800_B1000-2000_2026-07-31_030736,A1800_B1400,1800,1400,151,8.813551585570579,0.24655854958204396,-0.07314450569060554,11.509154362416108,12.594161073825504
A1800_B1000-2000_2026-07-31_030736,A1800_B1500,1800,1500,151,9.513730393517598,0.268623966707499,-0.05920410833961217,11.465587837837838,13.74695945945946
A1800_B1000-2000_2026-07-31_030736,A1800_B1600,1800,1600,148,10.279093960727192,0.2606049463226766,-0.043433524842207485,11.40539864864865,15.0322972972973
