# selected servo A
#META fw=tvc_char 2.1 test=B axis=0 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1370 win_hi=1690 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 buffered=1
#META imu_alive=1 imu_pass=0 imu_rate_hz=1907 g_mag=1.0454
#META gyro_bias_dps=2.3306,1.3877,-1.7717 gyro_noise_dps=0.1920,0.1828,0.1872 acc_noise_g=0.00390,0.00427,0.00414
#META limits_source=user axis_lo=1370 axis_hi=1690 axis_center=1520 axis_half=150
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META log_hz=1000 pre_ms=200 post_ms=2000 n=2200 arm_ms=1800 center_us=1520 half_travel_us=150
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
S,89001,pre,0,0,1527,1520,-400,-808,-17176,39,26,-29,0
S,90001,pre,0,0,1527,1520,-376,-920,-17016,43,31,-28,0
S,91001,pre,0,0,1527,1520,-448,-848,-17040,42,24,-27,0
S,92001,pre,0,0,1527,1520,-408,-808,-17048,36,24,-28,0
S,93001,pre,0,0,1527,1520,-456,-984,-17144,37,22,-31,0
S,94001,pre,0,0,1527,1520,-408,-1048,-17080,38,24,-33,0
S,95001,pre,0,0,1527,1520,-408,-1024,-16952,34,27,-33,0
S,96001,pre,0,0,1527,1520,-448,-936,-17064,37,25,-29,0
S,97001,pre,0,0,1527,1520,-432,-856,-17032,34,20,-29,0
S,98001,pre,0,0,1527,1520,-488,-992,-17072,35,22,-27,0
S,99001,pre,0,0,1527,1520,-304,-880,-17072,39,29,-26,0
S,100001,pre,0,0,1527,1520,-392,-920,-17072,39,28,-35,0
S,101001,pre,0,0,1527,1520,-376,-1032,-17064,41,24,-30,0
S,102001,pre,0,0,1527,1520,-328,-920,-17112,43,26,-32,0
S,103001,pre,0,0,1527,1520,-456,-904,-17104,44,22,-29,0
S,104001,pre,0,0,1527,1520,-384,-912,-17120,38,21,-27,0
S,105001,pre,0,0,1527,1520,-272,-792,-17064,38,21,-28,0
