# selected servo A
#META fw=tvc_char 2.1 test=P axis=0 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1370 win_hi=1690 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 repeatability
#META imu_alive=1 imu_pass=0 imu_rate_hz=1908 g_mag=1.0451
#META gyro_bias_dps=2.3410,1.4072,-1.7803 gyro_noise_dps=0.1853,0.1807,0.1871 acc_noise_g=0.00391,0.00414,0.00399
#META limits_source=user axis_lo=1370 axis_hi=1690 axis_center=1520 axis_half=150
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META reps=20 approach_us=75 dwell_ms=400 log_hz=100 center_us=1520
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
#META repeat_target=1520 idx=0
S,2936870,frombelow,2,0,1520,1520,-1352,-4648,-21624,84,-279,-299,0
S,2946870,frombelow,2,0,1520,1520,-1832,10472,-17352,28,-477,234,0
S,2956870,frombelow,2,0,1520,1520,-7360,-824,-17784,69,-992,101,0
S,2966871,frombelow,2,0,1520,1520,-1976,1440,-16880,58,-1528,42,0
S,2976870,frombelow,2,0,1520,1520,480,-960,-13712,134,-1778,-165,0
S,2986870,frombelow,2,0,1520,1520,-6968,472,-24008,73,-1690,207,0
S,2996870,frombelow,2,0,1520,1520,4584,-3176,-18960,19,-1624,251,0
S,3006870,frombelow,2,0,1520,1520,-3064,344,-18256,-65,-1219,-239,0
S,3016870,frombelow,2,0,1520,1520,-152,-3904,-18760,131,-595,-17,0
S,3026870,frombelow,2,0,1520,1520,-360,-4304,-17072,155,201,-30,0
S,3036870,frombelow,2,0,1520,1520,2048,-2664,-18440,137,829,-40,0
S,3046870,frombelow,2,0,1520,1520,1584,-680,-17048,-36,1071,-40,0
S,3056870,frombelow,2,0,1520,1520,-856,-2304,-17960,-154,909,-357,0
S,3066870,frombelow,2,0,1520,1520,-9080,-1368,-16056,-197,1011,-83,0
S,3076870,frombelow,2,0,1520,1520,-4720,-144,-17512,-98,777,-119,0
S,3086870,frombelow,2,0,1520,1520,-1912,-304,-18216,10,503,-99,0
S,3096870,frombelow,2,0,1520,1520,-608,3280,-13544,-13,115,159,0
S,3106870,frombelow,2,0,1520,1520,-2552,872,-16616,85,-242,-111,0
S,3116870,frombelow,2,0,1520,1520,-312,-1672,-15208,101,-499,-63,0
S,3126870,frombelow,2,0,1520,1520,-2744,2504,-18632,123,-606,27,0
S,3136870,frombelow,2,0,1520,1520,-248,-536,-17720,68,-583,174,0
S,3146870,frombelow,2,0,1520,1520,256,-2880,-16272,65,-584,-13,0
S,3156870,frombelow,2,0,1520,1520,1976,-1560,-17608,39,-474,-14,0
S,3166870,frombelow,2,0,1520,1520,-792,-856,-17144,15,-255,47,0
S,3176870,frombelow,2,0,1520,1520,-1296,-1688,-16704,49,-10,-19,0
S,3186870,frombelow,2,0,1520,1520,-704,-1792,-17000,90,254,-38,0
S,3196870,frombelow,2,0,1520,1520,336,-480,-17552,57,361,-44,0
S,3206870,frombelow,2,0,1520,1520,-1264,-464,-16880,4,323,-114,0
S,3216870,frombelow,2,0,1520,1520,-24,-1040,-17008,-24,274,-18,0
S,3226870,frombelow,2,0,1520,1520,-920,-696,-17176,7,177,-32,0
S,3236870,frombelow,2,0,1520,1520,-552,-824,-17144,56,60,-25,0
S,3246870,frombelow,2,0,1520,1520,-288,-1176,-17024,80,-38,-29,0
S,3256870,frombelow,2,0,1520,1520,-440,-912,-17128,69,-97,-23,0
S,3266870,frombelow,2,0,1520,1520,-400,-864,-17016,40,-121,-24,0
S,3276870,frombelow,2,0,1520,1520,-120,-704,-17056,14,-95,-14,0
S,3286870,frombelow,2,0,1520,1520,-504,-952,-17048,24,-31,-21,0
S,3296870,frombelow,2,0,1520,1520,-192,-1032,-17320,42,34,-23,0
S,3306870,frombelow,2,0,1520,1520,-264,-1040,-17184,50,74,-32,0
S,3316870,frombelow,2,0,1520,1520,-744,-920,-16920,34,81,-33,0
E,4016256,fromabove,3,0,1520,1520,,,,,,,0
S,4016884,fromabove,3,0,1520,1520,-1576,-928,-17040,36,26,-28,0
S,4026874,fromabove,3,0,1520,1520,8344,-2544,-16808,32,102,5,0
S,4036873,fromabove,3,0,1520,1520,1352,3640,-18288,42,297,-64,0
S,4046873,fromabove,3,0,1520,1520,1056,-2216,-18280,138,627,-73,0
S,4056872,fromabove,3,0,1520,1520,-3808,1296,-15824,201,1061,-78,0
S,4066872,fromabove,3,0,1520,1520,-640,-952,-16896,194,1401,-73,0
S,4076872,fromabove,3,0,1520,1520,-2856,-2664,-17304,123,1532,-117,0
S,4086872,fromabove,3,0,1520,1520,-1520,-1752,-17520,-25,1372,-358,0
S,4096872,fromabove,3,0,1520,1520,7664,-2528,-15296,-141,1374,-105,0
S,4106873,fromabove,3,0,1520,1520,472,-664,-17600,-81,1032,-108,0
S,4116872,fromabove,3,0,1520,1520,-792,-904,-18312,-49,685,-56,0
S,4126872,fromabove,3,0,1520,1520,-1568,-1536,-14800,-40,228,21,0
S,4136872,fromabove,3,0,1520,1520,-928,-1176,-16512,36,-162,-36,0
S,4146872,fromabove,3,0,1520,1520,-1624,-72,-15496,100,-460,-65,0
S,4156872,fromabove,3,0,1520,1520,-2664,1392,-17456,139,-594,41,0
S,4166872,fromabove,3,0,1520,1520,1168,-1008,-17232,84,-593,176,0
S,4176873,fromabove,3,0,1520,1520,1584,-2968,-15832,58,-618,10,0
